"Videoanalyse: Tid (s)","Videoanalyse: X (m)","Videoanalyse: Y (m)","Videoanalyse: X-hastighed (m/s)","Videoanalyse: Y-hastighed (m/s)"
6.404,0.132652928996,0.900191587959,0.243118058329,-0.597536814133
6.437,0.139626833458,0.882756826804,0.289868297163,-0.705279586247
6.47,0.150087690151,0.858348161187,0.355391435077,-0.874543419297
6.504,0.162292022959,0.826965591108,0.458391781995,-1.11840148201
6.537,0.179726784114,0.785122164336,0.613534449454,-1.43166712216
6.57,0.2006484975,0.731074404755,0.837025711123,-1.70429110992
6.604,0.233774543695,0.670052740712,1.12549215953,-1.93626790173
6.637,0.277361446583,0.598570219976,1.39492677349,-2.07025369111
6.67,0.324435301701,0.530574651471,1.69854457794,-2.1031136355
6.704,0.390687394091,0.455605178505,2.01770865996,-2.06130697601
6.737,0.462169914827,0.391096562231,2.28103302138,-1.95831614853
6.77,0.537139387793,0.326587945957,2.63655080139,-1.83438097606
6.803,0.638261002493,0.265566281914,2.91891760823,-1.57344050348
6.837,0.739382617192,0.218492426795,3.01856397798,-1.23294244318
6.87,0.838760755776,0.183622904485,3.15603478676,-0.897825144408
6.903,0.946856274938,0.160957714984,3.28840347792,-0.5816287648
6.937,1.05669527021,0.143522953829,3.38187637623,-0.180766868475
6.97,1.18919945499,0.136549049367,2.92556238438,0.560483018264
7.003,1.279860213,0.173162047792,1.55609466183,1.43951432992
7.037,1.30078192639,0.25161847299,-0.0473491734302,1.72633271632
7.07,1.26416892796,0.316127089264,-1.2690885658,1.16701320422
7.103,1.19094293111,0.338792278766,-1.62370841082,0.190157626186
7.137,1.13515169541,0.326587945957,-1.23102323683,-0.755717623443
7.17,1.09679522087,0.2864879953,-0.359663903684,-1.53697946677
7.203,1.1002821731,0.202801141756,0.846827016926,-1.59145071134
7.237,1.15956036103,0.153983810522,1.8383368555,-0.892366876544
7.27,1.24324721457,0.148753382175,2.22741224218,-0.298323161654
7.303,1.31996016366,0.150496858291,2.22002625375,-0.0846583427232
7.337,1.38969920828,0.148753382175,2.1377558151,-0.0343567352174
